Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,Attrition
Production Technician I,WBL,Active,Full-Time,Zone C,Temporary,Production       ,General - Con,MA,Female,Asian,Widowed,Fully Meets,3,3,3,2,Communication Skills,External,Incomplete,1,846.55,39,0
Production Manager,NEL,Active,Contract,Zone A,Part-Time,Production       ,Project Management - Con,MA,Female,White,Divorced,Fully Meets,3,1,2,3,Communication Skills,External,Passed,3,734.77,26,0
Production Manager,PL,Active,Part-Time,Zone A,Part-Time,Production       ,General - Sga,MA,Female,Other,Married,Fully Meets,3,5,5,5,Technical Skills,Internal,Incomplete,3,315.09,69,0
Production Manager,BPC,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Female,Other,Widowed,Fully Meets,3,3,3,1,Communication Skills,Internal,Passed,3,686.05,23,0
Production Technician II,WBL,Active,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Male,Other,Married,Fully Meets,3,2,1,4,Communication Skills,External,Passed,4,942.51,57,0
Production Technician II,NEL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Female,Other,Single,Fully Meets,3,2,3,4,Project Management,Internal,Failed,4,782.82,66,0
Production Technician II,PL,Active,Contract,Zone A,Full-Time,Production       ,Field Operations,MA,Female,White,Married,Fully Meets,3,2,2,2,Project Management,Internal,Failed,1,370.64,72,0
Production Technician II,BPC,Active,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Female,Asian,Single,Fully Meets,3,1,3,2,Technical Skills,Internal,Incomplete,1,487.66,60,0
Production Technician II,CCDR,Active,Part-Time,Zone C,Full-Time,Production       ,Underground,MA,Female,Black,Single,Fully Meets,3,1,5,4,Communication Skills,External,Incomplete,1,179.85,72,0
Production Technician I,SVG,Active,Part-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Female,Hispanic,Single,Fully Meets,3,4,1,4,Project Management,Internal,Completed,1,294.74,69,0
Production Technician I,EW,Terminated,Full-Time,Zone C,Full-Time,Production       ,Engineers,MA,Male,Asian,Married,Fully Meets,3,1,3,2,Communication Skills,External,Passed,5,202.09,69,1
Production Technician I,BPC,Terminated,Full-Time,Zone C,Full-Time,Production       ,Isp,MA,Female,White,Widowed,Fully Meets,3,5,5,2,Customer Service,Internal,Passed,4,901.42,52,1
Production Technician I,CCDR,Terminated,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Female,Other,Widowed,Fully Meets,3,2,1,5,Project Management,External,Incomplete,3,454.23,47,1
Production Technician I,EW,Terminated,Full-Time,Zone A,Part-Time,Production       ,Catv,MA,Female,Asian,Divorced,Fully Meets,3,2,1,2,Project Management,Internal,Passed,3,460.39,22,1
Production Technician I,MSC,Active,Contract,Zone A,Part-Time,Production       ,Engineers,MA,Female,White,Married,Fully Meets,3,2,2,5,Leadership Development,Internal,Completed,2,644.72,62,0
Production Technician I,NEL,Active,Contract,Zone A,Temporary,Production       ,Aerial,MA,Female,Other,Married,Fully Meets,3,2,2,5,Customer Service,External,Passed,3,436.86,52,0
Production Technician I,PL,Terminated,Contract,Zone C,Part-Time,Production       ,Field Operations,MA,Male,Other,Single,Fully Meets,3,2,1,2,Project Management,External,Failed,1,361.52,62,1
Production Technician I,PYZ,Active,Part-Time,Zone A,Full-Time,Production       ,Aerial,MA,Male,Black,Divorced,Fully Meets,3,3,5,1,Technical Skills,Internal,Passed,2,229.05,32,0
Production Technician I,SVG,Active,Full-Time,Zone B,Full-Time,Production       ,Underground,MA,Male,Hispanic,Single,Fully Meets,3,4,3,1,Technical Skills,Internal,Completed,3,787.85,76,0
Production Technician I,TNS,Active,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,MA,Male,Other,Married,Fully Meets,3,5,5,4,Communication Skills,External,Incomplete,1,483.82,28,0
Production Technician I,WBL,Active,Full-Time,Zone C,Temporary,Production       ,Splicing,MA,Female,Black,Divorced,Fully Meets,3,2,4,5,Communication Skills,External,Passed,5,623.64,47,0
Production Technician I,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,Catv,MA,Female,Black,Married,Fully Meets,3,4,5,5,Technical Skills,Internal,Incomplete,4,351.35,76,0
Production Technician I,CCDR,Active,Full-Time,Zone B,Temporary,Production       ,Wireline Construction,MA,Female,Hispanic,Divorced,Fully Meets,3,1,3,1,Customer Service,Internal,Completed,3,512.51,71,0
Production Manager,EW,Active,Part-Time,Zone A,Full-Time,Production       ,Fielders,MA,Female,Other,Widowed,Fully Meets,3,1,2,4,Project Management,Internal,Failed,5,957.9,45,0
Production Manager,MSC,Active,Full-Time,Zone A,Temporary,Production       ,Splicing,MA,Female,Hispanic,Single,Fully Meets,3,3,3,5,Communication Skills,External,Failed,5,886.45,38,0
Production Manager,NEL,Active,Part-Time,Zone A,Full-Time,Production       ,Aerial,MA,Female,Black,Single,Fully Meets,3,4,1,1,Communication Skills,Internal,Incomplete,4,443.55,24,0
Production Technician II,WBL,Terminated,Contract,Zone B,Part-Time,Production       ,General - Sga,MA,Male,Black,Divorced,Fully Meets,3,4,1,1,Technical Skills,Internal,Passed,4,899.13,41,1
Production Technician II,NEL,Terminated,Contract,Zone C,Full-Time,Production       ,General - Eng,MA,Female,Other,Married,Fully Meets,3,5,5,3,Communication Skills,External,Completed,1,202.74,32,1
Production Technician II,PL,Terminated,Contract,Zone B,Full-Time,Production       ,Project Management - Eng,MA,Female,Hispanic,Married,Fully Meets,3,2,5,3,Project Management,External,Failed,4,727.81,22,1
Production Technician II,BPC,Active,Full-Time,Zone B,Full-Time,Production       ,Wireline Construction,MA,Female,Black,Divorced,Fully Meets,3,4,4,4,Customer Service,Internal,Completed,2,820.39,41,0
Production Technician II,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,General - Con,MA,Female,White,Single,Fully Meets,3,3,1,1,Leadership Development,External,Passed,4,111.94,34,0
Production Technician I,SVG,Terminated,Full-Time,Zone B,Temporary,Production       ,Aerial,MA,Female,Black,Married,Fully Meets,3,5,2,3,Technical Skills,External,Failed,1,231.96,70,1
Production Technician I,EW,Terminated,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Male,Asian,Widowed,Fully Meets,3,5,4,2,Communication Skills,Internal,Completed,2,430.92,66,1
Production Technician I,PYZ,Active,Part-Time,Zone C,Temporary,Production       ,General - Eng,MA,Female,Other,Married,Fully Meets,3,4,5,4,Communication Skills,Internal,Completed,5,355.3,41,0
Production Technician I,WBL,Active,Full-Time,Zone B,Part-Time,Production       ,Safety,MA,Female,Hispanic,Divorced,Fully Meets,3,3,5,4,Technical Skills,Internal,Passed,5,575.1,62,0
Production Technician I,NEL,Active,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Female,Asian,Married,Fully Meets,3,3,2,2,Project Management,Internal,Failed,1,140.82,67,0
Production Technician I,PL,Active,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Female,White,Widowed,Fully Meets,3,3,3,3,Leadership Development,External,Passed,2,663.19,70,0
Production Technician I,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Female,Other,Married,Fully Meets,3,4,5,1,Project Management,Internal,Incomplete,2,996.77,45,0
Production Technician I,CCDR,Terminated,Contract,Zone A,Part-Time,Production       ,General - Con,MA,Male,Other,Divorced,Fully Meets,3,2,4,4,Communication Skills,External,Passed,2,145.39,68,1
Production Technician I,SVG,Terminated,Contract,Zone B,Temporary,Production       ,Wireline Construction,MA,Male,White,Widowed,Fully Meets,3,1,3,2,Technical Skills,Internal,Incomplete,1,344.74,39,1
Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Engineers,MA,Male,White,Divorced,Fully Meets,3,3,5,3,Project Management,External,Incomplete,5,308.09,31,0
Production Technician I,MSC,Active,Full-Time,Zone B,Temporary,Production       ,General - Sga,MA,Male,White,Married,Fully Meets,3,1,4,3,Project Management,External,Incomplete,1,610.96,74,0
Production Technician I,TNS,Active,Full-Time,Zone C,Part-Time,Production       ,Yard (Material Handling),MA,Female,Hispanic,Single,Fully Meets,3,2,1,2,Communication Skills,External,Failed,3,201.83,64,0
Production Technician I,PYZ,Active,Part-Time,Zone C,Part-Time,Production       ,Engineers,MA,Female,White,Divorced,Fully Meets,3,3,4,2,Technical Skills,Internal,Passed,5,391.85,62,0
Production Technician I,WBL,Active,Contract,Zone B,Full-Time,Production       ,Wireline Construction,MA,Female,White,Divorced,Fully Meets,3,2,1,2,Communication Skills,Internal,Completed,5,682.36,63,0
Production Manager,NEL,Active,Contract,Zone A,Part-Time,Production       ,Wireline Construction,MA,Female,Black,Single,Fully Meets,3,5,1,5,Leadership Development,Internal,Passed,3,492.39,40,0
Production Manager,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Female,Other,Married,Fully Meets,3,1,3,1,Communication Skills,External,Failed,2,197.78,24,0
Production Manager,BPC,Active,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Female,Asian,Divorced,Fully Meets,3,4,5,1,Leadership Development,External,Incomplete,4,485.44,72,0
Production Technician II,CCDR,Terminated,Part-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Male,Other,Widowed,Fully Meets,3,3,3,1,Leadership Development,External,Passed,3,557.34,37,1
Production Technician II,EW,Terminated,Contract,Zone C,Full-Time,Production       ,Engineers,MA,Female,Hispanic,Single,Fully Meets,3,4,5,4,Project Management,Internal,Failed,5,817.92,37,1
Production Technician II,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Project Management - Con,MA,Female,White,Married,Fully Meets,3,1,2,4,Project Management,External,Failed,4,485.39,33,0
Production Technician II,NEL,Active,Full-Time,Zone B,Full-Time,Production       ,Splicing,MA,Female,Asian,Divorced,Fully Meets,3,1,5,3,Customer Service,Internal,Completed,3,145.13,55,0
Production Technician II,PL,Active,Contract,Zone C,Temporary,Production       ,Aerial,MA,Female,Asian,Widowed,Fully Meets,3,2,1,5,Communication Skills,External,Passed,4,751.88,37,0
Production Technician I,PYZ,Terminated,Part-Time,Zone B,Part-Time,Production       ,General - Con,MA,Female,Black,Single,Fully Meets,3,4,1,1,Leadership Development,External,Incomplete,1,136.48,37,1
Production Technician I,SVG,Terminated,Full-Time,Zone B,Part-Time,Production       ,Wireline Construction,MA,Male,Asian,Single,Fully Meets,3,5,5,1,Customer Service,External,Completed,1,857.42,59,1
Production Technician I,WBL,Active,Full-Time,Zone B,Temporary,Production       ,General - Con,MA,Female,Black,Married,Fully Meets,3,2,3,1,Leadership Development,Internal,Failed,3,733.16,44,0
Production Technician I,BPC,Terminated,Part-Time,Zone B,Part-Time,Production       ,Engineers,MA,Female,Hispanic,Married,Fully Meets,3,2,2,2,Communication Skills,External,Failed,5,761.31,46,1
Production Technician I,CCDR,Terminated,Full-Time,Zone C,Temporary,Production       ,Executive,MA,Female,Asian,Single,Fully Meets,3,5,2,4,Leadership Development,External,Passed,1,920.41,69,1
Production Technician I,EW,Terminated,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),MA,Female,Asian,Single,Fully Meets,3,5,5,3,Customer Service,Internal,Passed,4,167.69,55,1
Production Technician I,MSC,Terminated,Contract,Zone A,Part-Time,Production       ,People Services,MA,Female,Asian,Widowed,Fully Meets,3,5,2,1,Leadership Development,External,Passed,2,931.45,71,1
Production Technician I,NEL,Active,Full-Time,Zone C,Temporary,Production       ,Engineers,MA,Female,Asian,Widowed,Fully Meets,3,4,1,4,Project Management,External,Completed,1,474.36,25,0
Production Technician I,PL,Terminated,Part-Time,Zone B,Part-Time,Production       ,Wireline Construction,MA,Male,Hispanic,Married,Fully Meets,3,4,2,3,Project Management,Internal,Incomplete,5,598.72,57,1
Production Technician I,PYZ,Active,Contract,Zone C,Part-Time,Production       ,Finance & Accounting,MA,Male,Asian,Married,Fully Meets,3,1,2,4,Customer Service,Internal,Completed,5,557.02,66,0
Production Technician I,SVG,Active,Full-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Male,Other,Divorced,Fully Meets,3,4,5,4,Customer Service,Internal,Completed,3,939.92,56,0
Production Technician I,TNS,Active,Part-Time,Zone C,Part-Time,Production       ,Billable Consultants,MA,Female,Other,Divorced,Fully Meets,3,1,2,2,Communication Skills,External,Failed,3,669.19,32,0
Production Technician I,WBL,Active,Contract,Zone B,Full-Time,Production       ,Fielders,MA,Female,Other,Widowed,Fully Meets,3,2,5,3,Technical Skills,Internal,Failed,5,525.69,27,0
Production Technician I,BPC,Active,Part-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Female,Black,Single,Fully Meets,3,4,2,5,Customer Service,External,Failed,1,173.66,68,0
Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Wireline Construction,MA,Female,Hispanic,Widowed,Fully Meets,3,5,4,4,Communication Skills,External,Completed,1,635.71,48,0
Production Manager,EW,Active,Contract,Zone B,Temporary,Production       ,Wireless,MA,Female,Black,Married,Fully Meets,3,2,2,1,Project Management,External,Passed,1,896.8,26,0
Production Manager,MSC,Active,Full-Time,Zone B,Full-Time,Production       ,People Services,MA,Female,Other,Single,Fully Meets,3,2,1,5,Leadership Development,Internal,Incomplete,4,857.61,73,0
Production Technician II,WBL,Active,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Male,Other,Divorced,Fully Meets,3,5,5,3,Customer Service,Internal,Failed,3,460.59,30,0
Production Technician II,NEL,Terminated,Full-Time,Zone A,Temporary,Production       ,Sales & Marketing,MA,Female,Black,Divorced,Fully Meets,3,4,1,5,Leadership Development,Internal,Passed,1,504.82,72,1
Production Technician II,PL,Active,Full-Time,Zone B,Full-Time,Production       ,General - Con,MA,Female,Other,Widowed,Fully Meets,3,5,5,3,Project Management,Internal,Failed,3,737.91,22,0
Production Technician II,BPC,Terminated,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Female,White,Married,Fully Meets,3,1,4,1,Customer Service,External,Passed,2,244.25,72,1
Production Technician II,CCDR,Terminated,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),MA,Female,Black,Divorced,Fully Meets,3,4,3,1,Leadership Development,External,Passed,2,762.82,46,1
Production Technician I,SVG,Terminated,Part-Time,Zone B,Part-Time,Production       ,Engineers,MA,Female,Other,Single,Fully Meets,3,1,3,3,Leadership Development,Internal,Incomplete,2,640.14,52,1
Production Technician I,TNS,Terminated,Part-Time,Zone C,Temporary,Production       ,Splicing,MA,Female,Hispanic,Single,Fully Meets,3,4,5,5,Project Management,Internal,Incomplete,3,726.03,21,1
Production Technician I,PYZ,Active,Contract,Zone B,Temporary,Production       ,Isp,MA,Female,Asian,Single,Fully Meets,3,1,4,3,Communication Skills,External,Passed,5,758.75,35,0
Production Technician I,WBL,Terminated,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Female,Black,Married,Fully Meets,3,4,4,3,Project Management,External,Failed,5,878.94,27,1
Production Technician I,NEL,Active,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,MA,Female,White,Married,Fully Meets,3,4,4,1,Project Management,External,Passed,3,227.9,64,0
Production Technician I,PL,Active,Contract,Zone A,Temporary,Production       ,General - Con,MA,Female,White,Widowed,Fully Meets,3,5,2,3,Communication Skills,Internal,Incomplete,3,855.27,41,0
Production Technician I,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,Isp,MA,Male,Asian,Married,Fully Meets,3,2,3,5,Technical Skills,External,Incomplete,5,170.62,68,0
Production Technician I,CCDR,Active,Full-Time,Zone B,Temporary,Production       ,Engineers,MA,Male,White,Widowed,Fully Meets,3,3,5,5,Communication Skills,Internal,Incomplete,4,392.14,58,0
Production Technician I,SVG,Terminated,Part-Time,Zone B,Temporary,Production       ,Field Operations,MA,Male,Black,Widowed,Fully Meets,3,4,3,2,Communication Skills,Internal,Completed,1,206.93,75,1
Production Technician I,EW,Active,Part-Time,Zone C,Part-Time,Production       ,Wireless,MA,Female,Other,Single,Fully Meets,3,2,4,5,Customer Service,External,Completed,5,307.13,47,0
Production Technician I,MSC,Active,Part-Time,Zone B,Full-Time,Production       ,Underground,MA,Female,White,Divorced,Fully Meets,3,5,3,2,Communication Skills,Internal,Passed,4,165.05,33,0
Production Technician I,TNS,Active,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Female,Asian,Divorced,Fully Meets,3,2,4,2,Communication Skills,Internal,Completed,4,371.27,23,0
Production Technician I,BPC,Active,Contract,Zone B,Full-Time,Production       ,General - Sga,MA,Female,Black,Widowed,Fully Meets,3,4,5,1,Communication Skills,External,Incomplete,3,366.78,28,0
Production Technician I,CCDR,Active,Part-Time,Zone A,Part-Time,Production       ,Splicing,MA,Female,Asian,Married,Fully Meets,3,5,5,3,Communication Skills,External,Failed,5,205.92,70,0
Production Manager,EW,Active,Part-Time,Zone A,Temporary,Production       ,Project Management - Con,MA,Female,Asian,Divorced,Fully Meets,3,2,3,2,Leadership Development,Internal,Completed,1,314.51,40,0
Production Manager,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Project Management - Con,MA,Female,Asian,Divorced,Fully Meets,3,2,4,2,Customer Service,Internal,Completed,2,793.86,49,0
Production Technician II,WBL,Active,Contract,Zone B,Full-Time,Production       ,General - Con,MA,Female,White,Married,Fully Meets,3,3,1,5,Project Management,Internal,Passed,3,252.53,70,0
Production Technician II,NEL,Terminated,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Female,Black,Married,Fully Meets,3,3,1,1,Customer Service,External,Passed,2,693.25,35,1
Production Technician II,PL,Active,Contract,Zone A,Temporary,Production       ,Wireline Construction,MA,Female,White,Widowed,Fully Meets,3,4,4,2,Project Management,Internal,Completed,4,926.76,29,0
Production Technician II,BPC,Active,Full-Time,Zone B,Temporary,Production       ,Engineers,MA,Female,Asian,Divorced,Fully Meets,3,2,1,1,Technical Skills,Internal,Failed,1,694.61,43,0
Production Technician II,CCDR,Active,Full-Time,Zone C,Temporary,Production       ,Aerial,MA,Female,Other,Widowed,Fully Meets,3,3,5,4,Project Management,Internal,Incomplete,1,732.02,45,0
Production Technician I,SVG,Terminated,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Male,White,Single,Fully Meets,3,1,3,4,Leadership Development,Internal,Completed,1,897.62,66,1
Production Technician I,TNS,Active,Full-Time,Zone B,Part-Time,Production       ,Project Management - Con,MA,Female,Asian,Married,Fully Meets,3,5,2,5,Leadership Development,Internal,Completed,2,786.57,61,0
Production Technician I,PYZ,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Female,Hispanic,Married,Fully Meets,3,2,5,4,Project Management,External,Incomplete,3,613.93,60,0
Production Technician I,WBL,Terminated,Part-Time,Zone A,Full-Time,Production       ,Engineers,MA,Female,Hispanic,Widowed,Fully Meets,3,3,4,1,Communication Skills,Internal,Passed,2,711.8,44,1
Production Technician I,NEL,Active,Full-Time,Zone B,Full-Time,Production       ,Shop (Fleet),MA,Female,Hispanic,Divorced,Fully Meets,3,4,5,3,Communication Skills,Internal,Failed,5,784.1,70,0
Production Technician I,PL,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Female,Hispanic,Married,Fully Meets,3,3,5,4,Customer Service,Internal,Failed,5,509.67,21,0
Production Technician I,BPC,Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Male,Black,Widowed,Fully Meets,3,4,2,5,Leadership Development,Internal,Incomplete,4,494.96,46,1
Production Technician I,CCDR,Terminated,Full-Time,Zone A,Full-Time,Production       ,Project Management - Con,MA,Male,Hispanic,Divorced,Fully Meets,3,1,3,1,Project Management,Internal,Incomplete,5,465.72,50,1
Production Technician I,SVG,Active,Part-Time,Zone C,Full-Time,Production       ,General - Con,MA,Female,White,Divorced,Fully Meets,3,4,1,5,Technical Skills,Internal,Failed,1,507.43,49,0
Production Technician I,EW,Active,Part-Time,Zone A,Part-Time,Production       ,General - Con,MA,Female,Other,Single,Fully Meets,3,2,1,2,Project Management,External,Passed,5,401.97,62,0
Production Technician I,MSC,Active,Contract,Zone A,Full-Time,Production       ,Yard (Material Handling),MA,Female,Black,Divorced,Fully Meets,3,1,2,4,Customer Service,External,Passed,4,813.9,57,0
Production Technician I,TNS,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Female,Hispanic,Married,Fully Meets,3,5,5,1,Leadership Development,External,Completed,2,360.02,52,0
Production Technician I,PYZ,Active,Full-Time,Zone A,Part-Time,Production       ,General - Sga,MA,Female,Asian,Widowed,Fully Meets,3,3,1,5,Customer Service,Internal,Completed,3,692.71,69,0
Production Technician I,WBL,Active,Full-Time,Zone C,Temporary,Production       ,General - Eng,MA,Female,Black,Single,Fully Meets,3,4,2,3,Technical Skills,Internal,Failed,3,233.12,50,0
Production Manager,NEL,Active,Contract,Zone A,Part-Time,Production       ,General - Sga,MA,Female,Asian,Single,Fully Meets,3,1,4,2,Technical Skills,External,Incomplete,1,881.48,63,0
Production Manager,PL,Active,Contract,Zone A,Full-Time,Production       ,Engineers,MA,Female,Black,Single,Fully Meets,3,2,1,5,Project Management,Internal,Passed,2,448.48,47,0
Production Technician II,CCDR,Active,Full-Time,Zone B,Part-Time,Production       ,Aerial,MA,Female,Other,Single,Fully Meets,3,2,5,3,Communication Skills,External,Incomplete,3,288.88,40,0
Production Technician II,EW,Active,Full-Time,Zone A,Full-Time,Production       ,General - Sga,MA,Female,White,Married,Fully Meets,3,1,4,5,Communication Skills,Internal,Failed,1,572.45,41,0
Production Technician II,MSC,Active,Full-Time,Zone C,Part-Time,Production       ,Splicing,MA,Female,Other,Single,Fully Meets,3,4,3,3,Communication Skills,Internal,Passed,3,141.38,35,0
Production Technician II,NEL,Active,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Female,White,Divorced,Fully Meets,3,2,4,5,Technical Skills,Internal,Incomplete,1,331.46,65,0
Production Technician II,PL,Terminated,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Female,White,Married,Fully Meets,3,3,3,5,Technical Skills,Internal,Incomplete,4,704.93,27,1
Production Technician I,MSC,Active,Full-Time,Zone C,Temporary,Production       ,General - Sga,MA,Male,Black,Single,Fully Meets,3,3,2,2,Leadership Development,External,Completed,4,450.65,78,0
Production Technician I,TNS,Terminated,Part-Time,Zone A,Part-Time,Production       ,Finance & Accounting,MA,Female,White,Widowed,Fully Meets,3,4,2,1,Project Management,External,Completed,3,775.97,52,1
Production Technician I,BPC,Terminated,Part-Time,Zone A,Temporary,Production       ,Catv,MA,Female,Black,Widowed,Fully Meets,3,3,3,1,Leadership Development,External,Passed,4,376.0,41,1
Production Technician I,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,General - Eng,MA,Female,Asian,Married,Fully Meets,3,2,1,2,Customer Service,External,Failed,2,106.54,21,0
Production Technician I,EW,Active,Contract,Zone B,Full-Time,Production       ,General - Eng,MA,Female,Other,Married,Fully Meets,3,5,1,5,Communication Skills,External,Completed,1,852.87,34,0
Production Technician I,MSC,Active,Part-Time,Zone C,Full-Time,Production       ,General - Eng,MA,Male,Hispanic,Widowed,Fully Meets,3,3,2,2,Project Management,External,Completed,4,469.03,27,0
Production Technician I,NEL,Terminated,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Male,Asian,Divorced,Fully Meets,3,1,5,1,Customer Service,Internal,Incomplete,2,274.85,22,1
Production Technician I,PL,Terminated,Full-Time,Zone A,Full-Time,Production       ,General - Con,MA,Female,Black,Widowed,Fully Meets,3,3,5,2,Technical Skills,External,Completed,1,342.57,77,1
Production Technician I,PYZ,Active,Full-Time,Zone C,Part-Time,Production       ,Aerial,MA,Female,Hispanic,Single,Fully Meets,3,2,4,5,Technical Skills,External,Incomplete,5,948.31,24,0
Production Technician I,SVG,Active,Full-Time,Zone C,Full-Time,Production       ,General - Con,MA,Female,Other,Single,Fully Meets,3,5,3,1,Leadership Development,Internal,Incomplete,3,900.52,77,0
Production Technician I,TNS,Active,Full-Time,Zone A,Full-Time,Production       ,General - Sga,MA,Female,White,Married,Fully Meets,3,5,4,2,Leadership Development,External,Completed,4,140.72,25,0
Production Technician I,WBL,Active,Contract,Zone B,Temporary,Production       ,Engineers,MA,Female,Black,Divorced,Fully Meets,3,5,4,5,Technical Skills,Internal,Passed,3,913.62,35,0
Production Technician I,BPC,Active,Full-Time,Zone A,Part-Time,Production       ,Engineers,MA,Female,White,Divorced,Fully Meets,3,1,4,3,Customer Service,Internal,Completed,5,950.3,75,0
Production Technician I,CCDR,Active,Contract,Zone B,Full-Time,Production       ,Wireline Construction,MA,Female,Asian,Single,Fully Meets,3,2,3,2,Project Management,Internal,Passed,2,668.77,28,0
Production Manager,EW,Active,Part-Time,Zone B,Part-Time,Production       ,Wireline Construction,MA,Female,Hispanic,Single,Fully Meets,3,5,4,2,Technical Skills,Internal,Passed,3,906.05,53,0
Production Technician II,PYZ,Active,Full-Time,Zone A,Full-Time,Production       ,General - Con,MA,Female,Other,Married,Fully Meets,3,3,3,3,Communication Skills,Internal,Incomplete,5,689.77,51,0
Production Technician II,WBL,Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Female,Asian,Widowed,Fully Meets,3,1,1,5,Communication Skills,External,Passed,2,694.27,34,1
Production Technician II,NEL,Terminated,Part-Time,Zone A,Temporary,Production       ,Isp,MA,Female,Other,Married,Fully Meets,3,2,4,4,Project Management,External,Passed,3,352.75,51,1
Production Technician II,PL,Active,Part-Time,Zone B,Temporary,Production       ,General - Con,MA,Female,Black,Married,Fully Meets,3,1,2,1,Project Management,Internal,Passed,3,411.17,40,0
Production Technician II,BPC,Active,Contract,Zone B,Full-Time,Production       ,Aerial,MA,Female,Asian,Widowed,Fully Meets,3,1,2,2,Project Management,External,Completed,3,358.81,67,0
Production Technician II,CCDR,Active,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Female,Black,Married,Fully Meets,3,1,3,1,Technical Skills,Internal,Passed,4,588.64,54,0
Production Technician I,MSC,Terminated,Part-Time,Zone B,Temporary,Production       ,Field Operations,MA,Female,Asian,Widowed,Fully Meets,3,1,4,2,Communication Skills,Internal,Incomplete,1,472.18,69,1
Production Technician I,TNS,Terminated,Full-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Female,Other,Married,Fully Meets,3,1,2,4,Project Management,Internal,Passed,2,758.79,21,1
Production Technician I,PYZ,Active,Contract,Zone A,Full-Time,Production       ,Finance & Accounting,MA,Female,Hispanic,Single,Fully Meets,3,5,3,5,Leadership Development,Internal,Failed,3,921.81,63,0
Production Technician I,WBL,Active,Full-Time,Zone B,Part-Time,Production       ,Safety,MA,Female,Asian,Widowed,Fully Meets,3,3,5,1,Communication Skills,External,Completed,3,405.08,27,0
Production Technician I,NEL,Terminated,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Male,White,Married,Fully Meets,3,2,5,2,Technical Skills,Internal,Failed,3,784.22,23,1
Production Technician I,PL,Active,Part-Time,Zone B,Part-Time,Production       ,Project Management - Con,MA,Male,Hispanic,Single,Fully Meets,3,1,3,5,Technical Skills,External,Failed,4,443.99,24,0
Production Technician I,BPC,Terminated,Contract,Zone A,Full-Time,Production       ,Engineers,MA,Male,Black,Married,Fully Meets,3,1,5,1,Technical Skills,Internal,Incomplete,3,609.9,40,1
Production Technician I,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,Project Management - Con,MA,Female,Asian,Divorced,Fully Meets,3,4,5,2,Leadership Development,External,Failed,5,742.16,42,0
Production Technician I,SVG,Active,Part-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Female,Other,Widowed,Fully Meets,3,1,1,3,Technical Skills,External,Failed,3,517.74,40,0
